ID_Sample	TaxID	Refseq	Counts	name	Species	Genus	Family	Order	Class	Phylum	Kingdom	Domain	ID	Mangrove	Collection_month	pH	OM	P	Ca	Mg	K	H.Al	SB	CTC	V.	Number_Reads	RelativeAbundance	FreqAlignment
A1	52	NR_178400.1	5	Chondromyces crocatus	Chondromyces crocatus	Chondromyces	Polyangiaceae	Polyangiales	NA	Myxococcota	NA	Bacteria	Sample-ID1-A1	Araçá	September	7.3	10	24	58	56	12.6	9	126.6	135	94	1184	0.771604938271605	54.7297297297297
A1	1515	NR_113157.1	1	Acetivibrio thermocellus	Acetivibrio thermocellus	Acetivibrio	Oscillospiraceae	Eubacteriales	Clostridia	Bacillota	NA	Bacteria	Sample-ID1-A1	Araçá	September	7.3	10	24	58	56	12.6	9	126.6	135	94	1184	0.154320987654321	54.7297297297297
A1	35811	NR_119015.1	1	Erythrobacter ramosus	Erythrobacter ramosus	Erythrobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	NA	Bacteria	Sample-ID1-A1	Araçá	September	7.3	10	24	58	56	12.6	9	126.6	135	94	1184	0.154320987654321	54.7297297297297
A1	44672	NR_044779.1	6	Syntrophotalea venetiana	Syntrophotalea venetiana	Syntrophotalea	Syntrophotaleaceae	Desulfuromonadales	Desulfuromonadia	Thermodesulfobacteriota	NA	Bacteria	Sample-ID1-A1	Araçá	September	7.3	10	24	58	56	12.6	9	126.6	135	94	1184	0.925925925925926	54.7297297297297
A1	54301	NR_177671.1	5	Cyanothece aeruginosa	Cyanothece aeruginosa	Cyanothece	Cyanothecaceae	Gomontiellales	Cyanophyceae	Cyanobacteriota	NA	Bacteria	Sample-ID1-A1	Araçá	September	7.3	10	24	58	56	12.6	9	126.6	135	94	1184	0.771604938271605	54.7297297297297
A1	60036	NR_026077.1	2	Geoanaerobacter pelophilus	Geoanaerobacter pelophilus	Geoanaerobacter	Geobacteraceae	Geobacterales	Desulfuromonadia	Thermodesulfobacteriota	NA	Bacteria	Sample-ID1-A1	Araçá	September	7.3	10	24	58	56	12.6	9	126.6	135	94	1184	0.308641975308642	54.7297297297297
A1	70997	NR_115013.1	13	Flavilitoribacter nigricans	Flavilitoribacter nigricans	Flavilitoribacter	Lewinellaceae	Saprospirales	Saprospiria	Bacteroidota	NA	Bacteria	Sample-ID1-A1	Araçá	September	7.3	10	24	58	56	12.6	9	126.6	135	94	1184	2.00617283950617	54.7297297297297
A1	90729	NR_028895.1	3	Desulfocastanea catecholica	Desulfocastanea catecholica	Desulfocastanea	Desulfobulbaceae	Desulfobulbales	Desulfobulbia	Thermodesulfobacteriota	NA	Bacteria	Sample-ID1-A1	Araçá	September	7.3	10	24	58	56	12.6	9	126.6	135	94	1184	0.462962962962963	54.7297297297297
A1	96561	NR_178271.1	1	Desulfosudis oleivorans Hxd3	Desulfosudis oleivorans	Desulfosudis	Desulfosudaceae	Desulfobacterales	Desulfobacteria	Thermodesulfobacteriota	NA	Bacteria	Sample-ID1-A1	Araçá	September	7.3	10	24	58	56	12.6	9	126.6	135	94	1184	0.154320987654321	54.7297297297297
A1	96561	NR_181964.1	1	Desulfosudis oleivorans Hxd3	Desulfosudis oleivorans	Desulfosudis	Desulfosudaceae	Desulfobacterales	Desulfobacteria	Thermodesulfobacteriota	NA	Bacteria	Sample-ID1-A1	Araçá	September	7.3	10	24	58	56	12.6	9	126.6	135	94	1184	0.154320987654321	54.7297297297297
